run,iteration,state,level,k,L,U,max_dev,n,m,heur_obj,heur_time,heur_iter,B_q,B_size,B_time,B_timelimit,DFixings,LFixings,UFixings_X,UFixings_R,ZFixings,MIP_obj,MIP_bound,MIP_time,MIP_timelimit,MIP_status,MIP_nodes,connected,max_dist,min_dist,found_dev
run1,1,WV,county,3,614577,620752,6175,55,125,23,794.37,10000,3,48,1.41,60,3,147,1,5,16,23,23.0,0.93,3600,2,2183,True,619270.0,614650.0,4620.0
run1,2,WV,county,3,614651.0,620677.0,6026.0,55,125,23,794.37,10000,3,48,1.41,60,0,0,0,0,16,24,24.0,2.74,3600,2,8090,True,619270.0,614744.0,4526.0
run1,3,WV,county,3,614745.0,620583.0,5838.0,55,125,23,794.37,10000,3,48,1.41,60,0,0,0,0,16,24,24.0,2.02,3600,2,4296,True,619270.0,615422.0,3848.0
run1,4,WV,county,3,615423.0,619905.0,4482.0,55,125,23,794.37,10000,3,48,1.41,60,0,0,0,0,16,25,25.0,2.39,3600,2,4722,True,619270.0,615450.0,3820.0
run1,5,WV,county,3,615451.0,619877.0,4426.0,55,125,23,794.37,10000,3,48,1.41,60,0,0,0,0,16,25,25.0,3.20,3600,2,10230,True,619270.0,616552.0,2718.0
run1,6,WV,county,3,616059.0,619269.0,3210.0,55,125,23,794.37,10000,3,48,1.41,60,0,0,0,0,16,26,26.0,8.26,3600,2,36627,True,619228.0,616611.0,2617.0
run1,7,WV,county,3,616101.0,619227.0,3126.0,55,125,23,794.37,10000,3,48,1.41,60,0,0,0,0,16,27,27.0,58.68,3600,2,177466,True,618822.0,616468.0,2354.0
run1,8,WV,county,3,616469.0,618859.0,2390.0,55,125,23,794.37,10000,3,48,1.41,60,0,0,0,0,16,27,27.0,14.91,3600,2,60536,True,618235.0,617208.0,1027.0
run1,9,WV,county,3,617094.0,618234.0,1140.0,55,125,23,794.37,10000,3,48,1.41,60,0,0,0,0,16,28,28.0,133.82,3600,2,480343,True,618213.0,617208.0,1005.0
run1,10,WV,county,3,617116.0,618212.0,1096.0,55,125,23,794.37,10000,3,48,1.41,60,0,0,0,0,16,29,29.0,83.46,3600,2,238901,True,617942.0,617385.0,557.0
run1,11,WV,county,3,617386.0,617942.0,556.0,55,125,23,794.37,10000,3,48,1.41,60,0,0,0,0,16,30,30.0,478.67,3600,2,1225224,True,617860.0,617478.0,382.0
run1,12,WV,county,3,617469.0,617859.0,390.0,55,125,23,794.37,10000,3,48,1.41,60,0,0,0,0,16,31,31.0,897.87,3600,2,2304640,True,617784.0,617484.0,300.0
run1,13,WV,county,3,617485.0,617843.0,358.0,55,125,23,794.37,10000,3,48,1.41,60,0,0,0,0,16,32,32.0,379.80,3600,2,1375260,True,617815.0,617551.0,264.0
run1,14,WV,county,3,617514.0,617814.0,300.0,55,125,23,794.37,10000,3,48,1.41,60,0,0,0,0,16,32,32.0,1779.36,3600,2,3808488,True,617695.0,617635.0,60.0
run1,14,WV,county,3,617634.0,617694.0,60.0,55,125,23,794.37,10000,3,48,1.41,60,0,0,0,0,16,no_solution_found,30.0,3600.09,3600,9,8064015,n/a,617695.0,617635.0,60.0
