run,iteration,state,level,k,max_dev,n,m,heur_obj,heur_time,heur_iter,B_q,B_size,B_time,B_timelimit,DFixings,LFixings,UFixings_X,UFixings_R,ZFixings,MIP_obj,MIP_bound,MIP_time,MIP_timelimit,MIP_status,MIP_nodes,connected,max_dist,min_dist,found_dev
run1,1,NE,county,3,6087,93,231,19,278.07,10000,3,86,9.78,60,3,261,7,11,13,19,19.0,2.31,3600,2,396,True,609930.0,606676.0,3254.0
run1,2,NE,county,3,3254.0,93,231,19,278.07,10000,3,86,9.78,60,0,0,0,0,13,19,19.0,3.27,3600,2,1550,True,609930.0,607487.0,2443.0
run1,3,NE,county,3,2443.0,93,231,19,278.07,10000,3,86,9.78,60,0,0,0,0,13,19,19.0,4.21,3600,2,1348,True,609930.0,607572.0,2358.0
run1,4,NE,county,3,2358.0,93,231,19,278.07,10000,3,86,9.78,60,0,0,0,0,13,19,19.0,3.98,3600,2,645,True,609327.0,608175.0,1152.0
run1,5,NE,county,3,1152.0,93,231,19,278.07,10000,3,86,9.78,60,0,0,0,0,13,20,20.0,40.36,3600,2,23749,True,608962.0,608540.0,422.0
run1,6,NE,county,3,422.0,93,231,19,278.07,10000,3,86,9.78,60,0,0,0,0,13,24,24.0,45.72,3600,2,65625,True,608924.0,608613.0,311.0
run1,7,NE,county,3,311.0,93,231,19,278.07,10000,3,86,9.78,60,0,0,0,0,13,25,25.0,64.87,3600,2,53338,True,608839.0,608710.0,129.0
run1,8,NE,county,3,129.0,93,231,19,278.07,10000,3,86,9.78,60,0,0,0,0,13,26,26.0,199.29,3600,2,226018,True,608839.0,608739.0,100.0
run1,9,NE,county,3,100.0,93,231,19,278.07,10000,3,86,9.78,60,0,0,0,0,13,27,27.0,3004.51,3600,2,2799519,True,608839.0,608746.0,93.0
run1,9,NE,county,3,93.0,93,231,19,278.07,10000,3,86,9.78,60,0,0,0,0,13,no_solution_found,27.0,3600.07,3600,9,3518838,n/a,608839.0,608746.0,93.0
