run,iteration,state,level,k,max_dev,n,m,heur_obj,heur_time,heur_iter,B_q,B_size,B_time,B_timelimit,DFixings,LFixings,UFixings_X,UFixings_R,ZFixings,MIP_obj,MIP_bound,MIP_time,MIP_timelimit,MIP_status,MIP_nodes,connected,max_dist,min_dist,found_dev
run1,1,NM,county,3,6863,33,78,17,158.72,10000,3,28,0.19,60,3,87,30,7,67,17,17.0,0.08,3600,2,1,True,689777.0,683772.0,6005.0
run1,2,NM,county,3,6005.0,33,78,17,158.72,10000,3,28,0.19,60,0,0,0,0,67,19,19.0,0.55,3600,2,601,True,689777.0,684175.0,5602.0
run1,3,NM,county,3,5602.0,33,78,17,158.72,10000,3,28,0.19,60,0,0,0,0,67,20,20.0,0.42,3600,2,601,True,689777.0,684532.0,5245.0
run1,4,NM,county,3,5245.0,33,78,17,158.72,10000,3,28,0.19,60,0,0,0,0,67,22,22.0,0.62,3600,2,1842,True,689777.0,684670.0,5107.0
run1,5,NM,county,3,5107.0,33,78,17,158.72,10000,3,28,0.19,60,0,0,0,0,67,23,23.0,1.08,3600,2,4847,True,688531.0,683634.0,4897.0
run1,6,NM,county,3,4897.0,33,78,17,158.72,10000,3,28,0.19,60,0,0,0,0,67,25,25.0,0.66,3600,2,1004,True,687948.0,683634.0,4314.0
run1,7,NM,county,3,4314.0,33,78,17,158.72,10000,3,28,0.19,60,0,0,0,0,67,26,26.0,0.79,3600,2,1738,True,687014.0,685656.0,1358.0
run1,8,NM,county,3,1358.0,33,78,17,158.72,10000,3,28,0.19,60,0,0,0,0,67,29,29.0,1.06,3600,2,1690,True,686896.0,685656.0,1240.0
run1,9,NM,county,3,1240.0,33,78,17,158.72,10000,3,28,0.19,60,0,0,0,0,67,33,33.0,2.50,3600,2,5706,True,686778.0,685656.0,1122.0
run1,10,NM,county,3,1122.0,33,78,17,158.72,10000,3,28,0.19,60,0,0,0,0,67,36,36.0,3.05,3600,2,13001,True,686764.0,685656.0,1108.0
run1,10,NM,county,3,1108.0,33,78,17,158.72,10000,3,28,0.19,60,0,0,0,0,67,no_solution_found,inf,3.36,3600,3,23161,n/a,686764.0,685656.0,1108.0
